MONTH,CITY,TRIPS,GROSS BOOKINGS (GB),SHOPPING SESSIONS,RIDERS WITH SESSIONS,REQUESTING SESSIONS,REQUESTS,ACTIVE DRIVERS,SUPPLY HOURS,C/R,C/RS,RS/SS,C/SS,ACCEPTANCE RATE,DRIVER CANCELATION,SUPPLY UTILIZATION,NPI,DRIVER PAYMENTS (AS % OF GB),RIDER INCENTIVES AND PROMOTIONS (AS % OF GB),DRIVER INCENTIVES AND PROMOTIONS (AS % OF GB),TAKE RATE (AS % OF GB)
2022-03,Rose Bowl,"1,730,290","30,383,375","3,104,364","433,050","1,859,587","2,139,988","8,979","955,547",80.9%,93.0%,59.9%,55.7%,30.0%,15.0%,59.0%,1.06,77.5%,-5.8%,2.2%,23.2%
2022-03,San Siro,"8,774,009","181,769,215","16,054,797","1,660,051","9,338,450","10,450,965","52,147","4,860,698",84.0%,94.0%,58.2%,54.7%,41.0%,23.0%,74.0%,1.08,79.5%,4.7%,3.2%,10.6%
2022-03,Lusail,"2,381,399","45,569,615","4,404,335","491,921","2,592,664","3,200,679","11,154","1,223,735",74.4%,91.9%,58.9%,54.1%,23.0%,20.0%,72.0%,1.05,77.2%,8.0%,2.9%,10.4%
2022-03,Old Trafford,"12,744,840","280,007,062","23,219,797","2,810,885","13,880,543","16,114,335","66,976","6,318,818",79.1%,91.8%,59.8%,54.9%,38.0%,32.0%,81.0%,1.07,75.6%,3.1%,3.8%,13.1%
2022-03,Maracan‹,"4,108,811","66,605,370","7,012,638","1,026,405","4,443,549","5,214,290","24,436","1,575,231",78.8%,92.5%,63.4%,58.6%,30.0%,20.0%,80.0%,1.03,74.5%,10.1%,5.9%,8.3%
2022-03,Azteca,"2,688,433","47,389,065","4,823,911","720,413","2,970,246","3,560,091","17,658","1,220,800",75.5%,90.5%,61.6%,55.7%,27.0%,23.0%,74.0%,1.02,74.8%,1.8%,5.7%,15.6%
2022-03,Santiago Bernabeu,"2,405,391","34,018,557","4,693,911","832,026","2,918,565","3,903,135","19,744","1,002,926",61.6%,82.4%,62.2%,51.2%,18.0%,23.0%,70.0%,0.95,73.6%,5.5%,4.4%,14.8%
2022-04,Vila Belmiro,"3,485,351","74,206,916","6,410,777","773,739","3,822,199","4,721,690","20,247","1,832,492",73.8%,91.2%,59.6%,54.4%,19.0%,22.0%,67.0%,0.99,76.4%,5.0%,3.9%,13.1%
2022-04,Rose Bowl,"1,706,774","31,050,475","3,063,282","437,324","1,842,212","2,149,018","9,011","916,463",79.4%,92.6%,60.1%,55.7%,28.0%,16.0%,62.0%,1.00,77.5%,-5.3%,3.6%,21.6%
2022-04,San Siro,"8,678,887","188,981,721","15,472,326","1,641,272","9,237,641","10,494,511","52,790","4,907,960",82.7%,94.0%,59.7%,56.1%,38.0%,25.0%,73.0%,1.03,79.4%,7.7%,3.0%,8.0%
2022-04,Lusail,"2,232,291","43,609,704","4,223,121","488,195","2,459,729","3,109,076","11,315","1,177,199",71.8%,90.8%,58.2%,52.9%,21.0%,21.0%,72.0%,1.04,77.7%,5.6%,4.0%,11.0%
2022-04,Old Trafford,"12,427,848","271,315,698","22,005,607","2,775,225","13,366,385","15,370,135","68,324","6,250,565",80.9%,93.0%,60.7%,56.5%,38.0%,31.0%,80.0%,0.99,77.1%,1.3%,4.3%,13.5%
2022-04,Maracan‹,"3,981,445","65,638,350","6,781,474","1,034,806","4,281,588","5,015,572","25,055","1,563,415",79.4%,93.0%,63.1%,58.7%,31.0%,21.0%,78.0%,1.02,74.5%,8.1%,7.0%,9.0%
2022-04,Azteca,"2,568,412","45,434,944","4,548,694","699,623","2,808,038","3,362,459","17,267","1,195,594",76.4%,91.5%,61.7%,56.5%,26.0%,23.0%,72.0%,1.04,73.3%,0.2%,6.6%,17.5%
2022-04,Santiago Bernabeu,"2,274,203","31,935,947","4,470,296","814,486","2,741,012","3,621,958","19,553","971,612",62.8%,83.0%,61.3%,50.9%,19.0%,23.0%,68.0%,0.95,75.7%,1.0%,5.3%,16.0%
2022-05,Vila Belmiro,"3,569,758","75,231,869","6,503,179","779,179","3,889,328","4,737,498","20,496","1,986,305",75.4%,91.8%,59.8%,54.9%,20.0%,20.0%,63.0%,1.01,75.9%,1.7%,4.9%,15.6%
2022-05,Rose Bowl,"1,748,979","31,710,256","3,087,536","444,684","1,880,607","2,166,372","9,157","976,505",80.7%,93.0%,60.9%,56.6%,29.0%,16.0%,59.0%,1.01,77.7%,-8.4%,4.2%,23.7%
2022-05,San Siro,"9,219,636","195,359,326","15,589,384","1,629,826","9,715,249","10,920,334","53,458","5,368,969",84.4%,94.9%,62.3%,59.1%,39.0%,23.0%,70.0%,1.03,79.2%,7.1%,4.4%,7.6%
2022-05,Lusail,"2,446,132","47,447,459","4,433,350","496,638","2,668,813","3,314,907","11,447","1,310,623",73.8%,91.7%,60.2%,55.2%,22.0%,19.0%,70.0%,1.02,77.4%,5.4%,5.6%,10.1%
2022-05,Old Trafford,"12,986,432","276,604,243","22,922,776","2,823,288","13,853,371","15,819,859","68,872","6,771,119",82.1%,93.7%,60.4%,56.7%,38.0%,27.0%,78.0%,1.00,77.6%,-4.0%,6.6%,14.8%
2022-05,Maracan‹,"4,290,024","70,288,288","7,050,387","1,041,488","4,579,724","5,314,013","25,927","1,706,676",80.7%,93.7%,65.0%,60.8%,32.0%,20.0%,77.0%,0.99,74.1%,7.6%,9.1%,8.0%
2022-05,Azteca,"2,667,629","46,756,381","4,531,393","654,795","2,915,660","3,520,747","16,700","1,268,430",75.8%,91.5%,64.3%,58.9%,24.0%,21.0%,69.0%,1.01,72.4%,2.1%,7.7%,15.7%
2022-05,Santiago Bernabeu,"2,345,424","33,318,423","4,393,252","782,648","2,741,639","3,536,459","19,247","1,052,559",66.3%,85.5%,62.4%,53.4%,21.0%,21.0%,64.0%,0.94,76.1%,0.7%,6.5%,15.0%
2022-06,Vila Belmiro,"3,347,161","69,766,223","6,091,748","757,378","3,655,672","4,334,689","20,726","1,911,245",77.2%,91.6%,60.0%,54.9%,21.0%,19.0%,60.0%,1.02,75.7%,2.1%,4.6%,15.7%
2022-06,Rose Bowl,"1,603,985","28,872,381","2,835,529","426,557","1,743,923","2,005,137","9,109","918,265",80.0%,92.0%,61.5%,56.6%,28.0%,16.0%,57.0%,1.05,77.4%,-8.4%,4.3%,23.9%
2022-06,San Siro,"8,613,975","178,374,518","14,330,038","1,568,896","9,087,044","10,153,523","53,920","5,233,341",84.8%,94.8%,63.4%,60.1%,39.0%,21.0%,66.0%,1.04,78.7%,7.0%,3.3%,9.0%
2022-06,Lusail,"2,159,121","41,955,487","4,029,982","482,882","2,397,818","2,995,242","11,469","1,185,635",72.1%,90.0%,59.5%,53.6%,21.0%,19.0%,68.0%,0.96,77.5%,2.1%,6.0%,12.6%
2022-06,Old Trafford,"12,345,066","252,435,766","21,519,099","2,749,398","13,162,701","14,932,947","69,741","6,605,292",82.7%,93.8%,61.2%,57.4%,38.0%,25.0%,75.0%,1.02,77.3%,-5.0%,8.1%,14.6%
2022-06,Maracan‹,"4,062,789","64,620,406","6,656,538","1,018,215","4,336,277","4,960,873","26,278","1,689,257",81.9%,93.7%,65.1%,61.0%,33.0%,19.0%,73.0%,1.02,74.1%,3.8%,8.6%,11.9%
2022-06,Azteca,"2,497,411","42,800,152","4,204,127","625,453","2,760,055","3,306,229","16,552","1,212,558",75.5%,90.5%,65.7%,59.4%,24.0%,20.0%,67.0%,1.02,72.0%,1.5%,7.2%,17.1%
2022-06,Santiago Bernabeu,"2,275,514","31,747,429","4,074,558","747,672","2,688,150","3,323,676","20,025","1,077,346",68.5%,84.6%,66.0%,55.8%,22.0%,20.0%,61.0%,0.94,75.2%,0.7%,7.9%,14.5%
2022-07,Vila Belmiro,"3,385,216","72,276,039","6,250,032","775,455","3,647,512","4,224,287","20,887","2,035,759",80.1%,92.8%,58.4%,54.2%,23.0%,18.0%,57.0%,1.00,75.8%,2.2%,4.3%,15.8%
2022-07,Rose Bowl,"1,639,638","33,133,507","2,900,335","438,197","1,779,414","2,046,107","9,349","975,760",80.1%,92.1%,61.4%,56.5%,28.0%,16.0%,56.0%,1.05,72.8%,0.7%,3.2%,21.1%
2022-07,San Siro,"9,308,088","198,410,335","15,820,647","1,654,099","9,868,792","11,212,744","54,230","5,395,102",83.0%,94.3%,62.4%,58.8%,36.0%,23.0%,70.0%,1.00,79.0%,6.5%,3.1%,9.5%
2022-07,Lusail,"2,255,962","42,646,831","4,122,696","493,240","2,450,409","2,986,612","11,698","1,336,921",75.5%,92.1%,59.4%,54.7%,23.0%,18.0%,62.0%,0.99,77.5%,0.1%,6.1%,14.4%
2022-07,Old Trafford,"12,706,027","264,373,258","21,940,593","2,793,861","13,479,075","15,290,191","70,253","6,831,556",83.1%,94.3%,61.4%,57.9%,37.0%,25.0%,74.0%,0.99,76.8%,-3.8%,6.6%,15.4%
2022-07,Maracan‹,"4,179,829","65,298,267","6,689,723","1,035,322","4,368,419","4,906,336","26,774","1,831,776",85.2%,95.7%,65.3%,62.5%,38.0%,18.0%,68.0%,0.99,74.1%,3.8%,8.6%,12.0%
2022-07,Azteca,"2,680,915","46,139,828","4,419,900","672,912","2,926,006","3,473,489","17,682","1,290,586",77.2%,91.6%,66.2%,60.7%,25.0%,20.0%,68.0%,0.98,74.2%,1.8%,6.7%,15.3%
2022-07,Santiago Bernabeu,"2,418,822","34,682,050","4,234,246","781,888","2,800,511","3,401,124","20,949","1,173,148",71.1%,86.4%,66.1%,57.1%,23.0%,20.0%,59.0%,0.97,74.3%,3.8%,7.9%,12.6%
2022-08,Vila Belmiro,"3,366,559","70,937,407","6,389,286","776,272","3,648,026","4,288,523","21,134","2,095,585",78.5%,92.3%,57.1%,52.7%,23.0%,17.0%,56.0%,1.02,76.6%,2.2%,3.0%,16.0%
2022-08,Rose Bowl,"1,743,693","36,505,149","3,023,716","440,351","1,884,524","2,155,843","9,767","1,034,341",80.9%,92.5%,62.3%,57.7%,29.0%,15.0%,57.0%,1.05,70.9%,7.7%,2.5%,16.7%
2022-08,San Siro,"9,038,584","191,996,660","15,591,838","1,639,738","9,631,258","10,993,663","55,138","5,480,608",82.2%,93.8%,61.8%,58.0%,35.0%,22.0%,68.0%,0.99,78.9%,7.9%,2.5%,8.6%
2022-08,Lusail,"2,322,336","45,688,597","4,220,743","491,483","2,521,650","3,016,279","11,808","1,333,253",77.0%,92.1%,59.7%,55.0%,21.0%,19.0%,66.0%,0.94,74.8%,5.5%,3.0%,14.6%
2022-08,Old Trafford,"12,410,609","268,003,501","22,371,843","2,809,291","13,277,610","15,204,885","71,669","6,995,224",81.6%,93.5%,59.3%,55.5%,35.0%,25.0%,75.0%,1.00,77.5%,-4.6%,3.6%,18.0%
2022-08,Maracan‹,"4,365,873","69,810,000","7,065,252","1,045,750","4,570,426","5,157,843","27,574","1,894,594",84.6%,95.5%,64.7%,61.8%,35.0%,18.0%,70.0%,1.02,74.3%,4.7%,5.0%,14.0%
2022-08,Azteca,"2,680,206","46,132,140","4,471,854","651,501","2,926,647","3,463,663","17,501","1,327,836",77.4%,91.6%,65.4%,59.9%,25.0%,19.0%,66.0%,0.98,74.2%,2.7%,3.8%,17.0%
2022-08,Santiago Bernabeu,"2,477,351","36,233,137","4,310,840","761,988","2,828,282","3,382,086","20,826","1,226,956",73.2%,87.6%,65.6%,57.5%,25.0%,19.0%,58.0%,1.00,73.9%,6.1%,3.7%,14.5%
2022-09,Vila Belmiro,"3,537,969","75,685,468","6,503,442","780,368","3,795,253","4,424,638","21,467","2,097,189",80.0%,93.2%,58.4%,54.4%,23.0%,17.0%,60.0%,1.03,76.3%,8.1%,1.8%,11.9%
2022-09,Rose Bowl,"1,799,340","37,367,378","3,056,432","439,312","1,934,467","2,227,461","10,113","1,030,401",80.8%,93.0%,63.3%,58.9%,29.0%,14.0%,59.0%,1.04,70.2%,12.2%,1.8%,13.7%
2022-09,San Siro,"8,947,882","193,797,882","15,869,750","1,702,247","9,557,559","11,019,054","56,153","5,458,987",81.2%,93.6%,60.2%,56.4%,33.0%,21.0%,69.0%,1.03,78.8%,7.4%,2.5%,8.8%
2022-09,Lusail,"2,259,209","44,871,228","4,150,177","491,108","2,439,126","2,899,165","11,752","1,288,512",77.9%,92.6%,58.8%,54.4%,22.0%,19.0%,65.0%,1.02,74.3%,6.0%,3.5%,14.0%
2022-09,Old Trafford,"12,280,525","264,731,958","22,147,293","2,812,915","13,019,753","14,745,421","73,177","6,978,566",83.3%,94.3%,58.8%,55.4%,37.0%,23.0%,74.0%,1.03,77.3%,-4.2%,4.0%,17.5%
2022-09,Maracan‹,"4,422,747","71,158,461","7,103,248","1,052,533","4,607,584","5,186,391","28,352","1,881,252",85.3%,96.0%,64.9%,62.3%,35.0%,17.0%,70.0%,1.02,74.4%,6.1%,3.6%,13.9%
2022-09,Azteca,"2,695,260","46,762,437","4,498,337","663,256","2,933,148","3,458,761","17,921","1,330,013",77.9%,91.9%,65.2%,59.9%,26.0%,18.0%,67.0%,1.05,74.7%,4.8%,3.3%,14.9%
2022-09,Santiago Bernabeu,"2,518,626","37,205,588","4,307,032","761,118","2,830,609","3,347,740","21,251","1,240,729",75.2%,89.0%,65.7%,58.5%,26.0%,18.0%,59.0%,1.03,73.9%,7.9%,2.9%,13.4%
2022-10,Vila Belmiro,"3,687,243","76,037,203","7,010,173","800,826","4,113,659","5,022,920","22,208","2,098,738",73.4%,89.6%,58.7%,52.6%,18.0%,19.0%,63.0%,1.04,76.1%,6.6%,2.1%,13.2%
2022-10,Rose Bowl,"1,901,006","39,604,383","3,239,956","445,161","2,036,703","2,298,220","10,567","1,105,862",82.7%,93.3%,62.9%,58.7%,31.0%,14.0%,58.0%,1.07,70.0%,12.0%,1.7%,14.2%
2022-10,San Siro,"9,360,051","206,364,373","16,788,836","1,710,176","10,024,412","11,438,019","56,800","5,490,765",81.8%,93.4%,59.7%,55.8%,33.0%,22.0%,71.0%,1.01,79.3%,6.3%,2.6%,9.6%
2022-10,Lusail,"2,382,981","48,761,917","4,456,974","509,059","2,580,469","3,052,242","11,918","1,305,574",78.1%,92.3%,57.9%,53.5%,22.0%,19.0%,68.0%,1.03,75.7%,7.7%,4.3%,10.5%
2022-10,Old Trafford,"13,060,332","286,596,844","23,599,582","2,896,337","13,878,397","15,563,956","75,421","7,256,990",83.9%,94.1%,58.8%,55.3%,38.0%,23.0%,75.0%,1.04,77.3%,-3.6%,5.0%,16.3%
2022-10,Maracan‹,"4,654,125","75,844,489","7,549,388","1,084,271","4,879,460","5,470,603","29,615","1,938,990",85.1%,95.4%,64.6%,61.6%,34.0%,17.0%,72.0%,1.02,75.0%,5.1%,3.1%,14.7%
2022-10,Azteca,"2,935,670","52,227,879","4,985,646","706,827","3,257,466","3,885,461","19,215","1,374,645",75.6%,90.1%,65.3%,58.9%,24.0%,20.0%,71.0%,1.01,75.5%,5.3%,3.2%,13.9%
2022-10,Santiago Bernabeu,"2,721,162","41,486,532","4,746,697","807,752","3,100,492","3,667,662","22,431","1,272,459",74.2%,87.8%,65.3%,57.3%,25.0%,19.0%,63.0%,1.01,74.4%,7.9%,2.3%,13.6%
2022-11,Vila Belmiro,"3,552,808","71,223,153","6,716,862","797,018","3,931,719","4,702,801","22,694","2,107,103",75.5%,90.4%,58.5%,52.9%,20.0%,18.0%,60.0%,1.05,75.5%,4.3%,6.2%,12.4%
2022-11,Rose Bowl,"1,913,495","39,641,359","3,248,664","457,598","2,049,209","2,286,174","10,812","1,135,823",83.7%,93.4%,63.1%,58.9%,32.0%,13.0%,57.0%,1.04,69.4%,11.8%,4.0%,13.1%
2022-11,San Siro,"8,906,113","189,036,056","15,716,912","1,705,602","9,500,906","10,727,820","56,862","5,471,978",83.0%,93.7%,60.5%,56.7%,32.0%,19.0%,67.0%,0.99,78.6%,4.5%,5.4%,9.5%
2022-11,Lusail,"2,315,829","46,640,827","4,246,712","514,904","2,489,268","2,876,539","12,085","1,315,825",80.5%,93.0%,58.6%,54.5%,24.0%,18.0%,65.0%,1.06,75.4%,7.2%,6.3%,9.6%
2022-11,Old Trafford,"12,803,857","276,402,909","22,892,061","2,910,136","13,663,750","15,267,336","76,492","7,270,356",83.9%,93.7%,59.7%,55.9%,36.0%,19.0%,73.0%,1.00,76.7%,-3.9%,6.9%,15.4%
2022-11,Maracan‹,"4,506,928","72,031,424","7,251,613","1,077,485","4,738,250","5,269,162","30,046","1,919,846",85.5%,95.1%,65.3%,62.2%,35.0%,17.0%,71.0%,1.02,74.5%,3.9%,4.9%,14.7%
2022-11,Azteca,"2,836,862","50,482,859","4,910,632","735,025","3,158,941","3,742,719","20,148","1,359,880",75.8%,89.8%,64.3%,57.8%,23.0%,20.0%,71.0%,1.00,74.9%,3.9%,5.5%,13.6%
2022-11,Santiago Bernabeu,"2,562,101","38,573,701","4,510,266","803,729","2,903,554","3,375,834","23,492","1,229,085",75.9%,88.2%,64.4%,56.8%,28.0%,18.0%,61.0%,1.03,74.0%,5.9%,3.8%,14.5%
2022-12,Vila Belmiro,"3,852,660","84,742,503","8,047,988","865,447","4,473,350","5,517,382","22,821","2,142,772",69.8%,86.1%,55.6%,47.9%,17.0%,20.0%,66.0%,1.05,79.1%,2.5%,4.2%,12.4%
2022-12,Rose Bowl,"2,067,026","45,102,016","3,770,524","500,253","2,280,471","2,611,088","11,278","1,149,863",79.2%,90.6%,60.5%,54.8%,26.0%,15.0%,62.0%,1.07,70.2%,9.6%,3.6%,14.6%
2022-12,San Siro,"9,824,727","217,681,719","19,234,281","1,884,096","10,940,688","12,853,062","57,297","5,672,822",76.4%,89.8%,56.9%,51.1%,26.0%,20.0%,75.0%,0.96,79.9%,1.7%,6.5%,9.7%
2022-12,Lusail,"2,698,880","57,134,072","5,146,465","570,379","3,021,148","3,680,923","12,450","1,407,825",73.3%,89.3%,58.7%,52.4%,20.0%,20.0%,73.0%,0.92,78.0%,10.3%,6.4%,4.2%
2022-12,Old Trafford,"13,069,096","304,303,611","26,898,659","3,150,473","14,498,709","16,565,168","79,030","7,084,293",78.9%,90.1%,53.9%,48.6%,31.0%,21.0%,79.0%,1.02,78.3%,-8.5%,5.8%,19.1%
2022-12,Maracan‹,"4,941,444","85,637,037","8,548,913","1,190,735","5,354,317","6,028,070","31,623","1,974,075",82.0%,92.3%,62.6%,57.8%,30.0%,18.0%,77.0%,1.02,75.5%,2.7%,4.4%,15.3%
2022-12,Azteca,"3,051,179","58,749,432","6,135,537","896,245","3,613,793","4,476,034","23,676","1,376,422",68.2%,84.4%,58.9%,49.7%,19.0%,22.0%,78.0%,0.98,76.3%,-1.5%,5.3%,17.4%
2022-12,Santiago Bernabeu,"2,866,235","46,043,158","5,448,591","932,023","3,387,988","4,007,745","25,577","1,247,273",71.5%,84.6%,62.2%,52.6%,24.0%,20.0%,70.0%,0.98,75.0%,4.7%,3.5%,14.9%
2023-01,Vila Belmiro,"3,317,455","73,517,961","6,428,297","797,696","3,574,886","4,141,186","23,082","2,083,376",80.1%,92.8%,55.6%,51.6%,23.0%,16.0%,56.0%,1.10,75.6%,11.9%,0.1%,10.6%
2023-01,Rose Bowl,"1,863,170","38,951,200","3,169,008","462,521","1,995,181","2,251,589","11,541","1,124,570",82.7%,93.4%,63.0%,58.8%,30.0%,13.0%,55.0%,1.06,69.3%,17.2%,0.1%,11.6%
2023-01,San Siro,"8,507,936","185,120,106","16,876,057","1,825,711","9,264,944","10,885,514","57,278","5,196,756",78.2%,91.8%,54.9%,50.4%,26.0%,20.0%,70.0%,1.01,79.2%,3.9%,2.1%,12.1%
2023-01,Lusail,"2,396,507","49,830,866","4,802,118","572,115","2,631,481","3,173,991","12,668","1,340,151",75.5%,91.1%,54.8%,49.9%,20.0%,20.0%,67.0%,1.00,75.6%,7.1%,1.4%,13.5%
2023-01,Old Trafford,"11,922,815","249,556,415","21,623,876","2,865,337","12,659,241","14,300,406","79,118","6,767,914",83.4%,94.2%,58.5%,55.1%,33.0%,17.0%,70.0%,1.03,76.7%,-3.0%,0.9%,19.6%
2023-01,Maracan‹,"4,354,340","72,421,549","7,018,196","1,086,581","4,521,988","5,008,463","31,205","1,963,941",86.9%,96.3%,64.4%,62.0%,36.0%,15.0%,65.0%,1.08,73.6%,9.8%,0.4%,14.0%
2023-01,Azteca,"2,795,888","54,095,979","5,538,722","935,711","3,224,646","3,933,399","24,958","1,397,264",71.1%,86.7%,58.2%,50.5%,21.0%,21.0%,71.0%,1.02,74.2%,3.9%,2.0%,17.3%
2023-01,Santiago Bernabeu,"2,618,257","41,318,920","4,730,047","895,374","2,959,038","3,458,726","25,643","1,289,600",75.7%,88.5%,62.6%,55.4%,26.0%,18.0%,61.0%,1.06,74.0%,10.3%,0.8%,13.0%
2023-02,Vila Belmiro,"3,669,468","83,808,261","7,117,546","813,134","4,022,938","4,800,442","23,746","2,158,950",76.4%,91.2%,56.5%,51.6%,20.0%,18.0%,63.0%,1.00,76.2%,13.7%,1.0%,7.9%
2023-02,Rose Bowl,"1,889,030","39,894,173","3,190,573","451,511","2,020,571","2,300,612","11,731","1,133,719",82.1%,93.5%,63.3%,59.2%,28.0%,13.0%,56.0%,1.04,69.0%,17.0%,0.0%,12.4%
2023-02,San Siro,"7,901,285","177,118,098","16,558,384","1,782,311","8,818,839","10,606,442","57,216","4,812,429",74.5%,89.6%,53.3%,47.7%,23.0%,21.0%,74.0%,1.03,79.8%,4.1%,2.3%,11.4%
2023-02,Lusail,"2,128,049","44,592,692","4,444,109","547,084","2,408,755","3,011,204","12,762","1,240,383",70.7%,88.3%,54.2%,47.9%,17.0%,22.0%,68.0%,0.99,75.8%,6.2%,1.6%,14.3%
2023-02,Old Trafford,"12,290,676","259,816,119","22,236,844","2,870,635","13,162,402","14,954,695","79,557","6,965,683",82.2%,93.4%,59.2%,55.3%,30.0%,17.0%,73.0%,1.02,77.3%,-2.9%,2.1%,18.1%
2023-02,Maracan‹,"4,630,895","78,305,700","7,342,456","1,088,303","4,813,267","5,338,810","31,717","2,000,270",86.7%,96.2%,65.6%,63.1%,34.0%,16.0%,69.0%,1.04,73.5%,12.1%,0.6%,12.0%
2023-02,Azteca,"2,575,641","48,175,316","4,867,720","778,044","2,940,472","3,556,861","21,864","1,304,936",72.4%,87.6%,60.4%,52.9%,21.0%,20.0%,69.0%,1.05,73.6%,4.0%,2.1%,17.9%
2023-02,Santiago Bernabeu,"2,626,015","41,424,711","4,639,406","847,220","2,938,268","3,421,354","25,508","1,252,357",76.8%,89.4%,63.3%,56.6%,26.0%,18.0%,63.0%,1.05,73.9%,11.5%,0.7%,12.5%
2023-03,Vila Belmiro,"4,170,465","90,189,703","7,785,022","825,506","4,430,823","4,898,098","24,360","2,486,109",85.1%,94.1%,56.9%,53.6%,22.0%,16.0%,60.0%,1.02,75.6%,13.8%,0.2%,9.1%
2023-03,Rose Bowl,"2,163,004","41,650,724","3,642,056","475,319","2,290,976","2,483,330","12,158","1,353,837",87.1%,94.4%,62.9%,59.4%,29.0%,13.0%,55.0%,1.08,74.6%,6.6%,0.2%,16.5%
2023-03,San Siro,"8,951,807","187,933,580","17,218,567","1,770,812","9,692,466","10,964,229","57,809","5,677,037",81.6%,92.4%,56.3%,52.0%,25.0%,19.0%,69.0%,1.01,78.9%,7.7%,1.8%,9.5%
