MONTH,CITY,TRIPS,GROSS BOOKINGS (GB),SHOPPING SESSIONS,RIDERS WITH SESSIONS,REQUESTING SESSIONS,REQUESTS,ACTIVE DRIVERS,SUPPLY HOURS,C/R,C/RS,RS/SS,C/SS,ACCEPTANCE RATE,DRIVER CANCELATION,SUPPLY UTILIZATION,NPI,DRIVER PAYMENTS (AS % OF GB),RIDER INCENTIVES AND PROMOTIONS (AS % OF GB),DRIVER INCENTIVES AND PROMOTIONS (AS % OF GB),TAKE RATE (AS % OF GB)
2022-04,Maracan‹,"3,981,445","65,638,350","6,781,474","1,034,806","4,281,588","5,015,572","25,055","1,563,415",79.40%,93.00%,63.10%,58.70%,31.00%,21.00%,78.00%,1.02,74.50%,8.10%,7.00%,9.00%
2022-04,Azteca,"2,568,412","45,434,944","4,548,694","699,623","2,808,038","3,362,459","17,267","1,195,594",76.40%,91.50%,61.70%,56.50%,26.00%,23.00%,72.00%,1.04,73.30%,0.20%,6.60%,17.50%
2022-04,Santiago Bernabeu,"2,274,203","31,935,947","4,470,296","814,486","2,741,012","3,621,958","19,553","971,612",62.80%,83.00%,61.30%,50.90%,19.00%,23.00%,68.00%,0.95,75.70%,1.00%,5.30%,16.00%
2022-05,Vila Belmiro,"3,569,758","75,231,869","6,503,179","779,179","3,889,328","4,737,498","20,496","1,986,305",75.40%,91.80%,59.80%,54.90%,20.00%,20.00%,63.00%,1.01,75.90%,1.70%,4.90%,15.60%
2022-05,Rose Bowl,"1,748,979","31,710,256","3,087,536","444,684","1,880,607","2,166,372","9,157","976,505",80.70%,93.00%,60.90%,56.60%,29.00%,16.00%,59.00%,1.01,77.70%,-8.40%,4.20%,23.70%
2022-05,San Siro,"9,219,636","195,359,326","15,589,384","1,629,826","9,715,249","10,920,334","53,458","5,368,969",84.40%,94.90%,62.30%,59.10%,39.00%,23.00%,70.00%,1.03,79.20%,7.10%,4.40%,7.60%
2022-05,Lusail,"2,446,132","47,447,459","4,433,350","496,638","2,668,813","3,314,907","11,447","1,310,623",73.80%,91.70%,60.20%,55.20%,22.00%,19.00%,70.00%,1.02,77.40%,5.40%,5.60%,10.10%
2022-05,Old Trafford,"12,986,432","276,604,243","22,922,776","2,823,288","13,853,371","15,819,859","68,872","6,771,119",82.10%,93.70%,60.40%,56.70%,38.00%,27.00%,78.00%,1,77.60%,-4.00%,6.60%,14.80%
2022-05,Maracan‹,"4,290,024","70,288,288","7,050,387","1,041,488","4,579,724","5,314,013","25,927","1,706,676",80.70%,93.70%,65.00%,60.80%,32.00%,20.00%,77.00%,0.99,74.10%,7.60%,9.10%,8.00%
2022-05,Azteca,"2,667,629","46,756,381","4,531,393","654,795","2,915,660","3,520,747","16,700","1,268,430",75.80%,91.50%,64.30%,58.90%,24.00%,21.00%,69.00%,1.01,72.40%,2.10%,7.70%,15.70%
2022-05,Santiago Bernabeu,"2,345,424","33,318,423","4,393,252","782,648","2,741,639","3,536,459","19,247","1,052,559",66.30%,85.50%,62.40%,53.40%,21.00%,21.00%,64.00%,0.94,76.10%,0.70%,6.50%,15.00%
2022-06,Vila Belmiro,"3,347,161","69,766,223","6,091,748","757,378","3,655,672","4,334,689","20,726","1,911,245",77.20%,91.60%,60.00%,54.90%,21.00%,19.00%,60.00%,1.02,75.70%,2.10%,4.60%,15.70%
2022-06,Rose Bowl,"1,603,985","28,872,381","2,835,529","426,557","1,743,923","2,005,137","9,109","918,265",80.00%,92.00%,61.50%,56.60%,28.00%,16.00%,57.00%,1.05,77.40%,-8.40%,4.30%,23.90%
2022-06,San Siro,"8,613,975","178,374,518","14,330,038","1,568,896","9,087,044","10,153,523","53,920","5,233,341",84.80%,94.80%,63.40%,60.10%,39.00%,21.00%,66.00%,1.04,78.70%,7.00%,3.30%,9.00%
2022-06,Lusail,"2,159,121","41,955,487","4,029,982","482,882","2,397,818","2,995,242","11,469","1,185,635",72.10%,90.00%,59.50%,53.60%,21.00%,19.00%,68.00%,0.96,77.50%,2.10%,6.00%,12.60%
2022-06,Old Trafford,"12,345,066","252,435,766","21,519,099","2,749,398","13,162,701","14,932,947","69,741","6,605,292",82.70%,93.80%,61.20%,57.40%,38.00%,25.00%,75.00%,1.02,77.30%,-5.00%,8.10%,14.60%
2022-06,Maracan‹,"4,062,789","64,620,406","6,656,538","1,018,215","4,336,277","4,960,873","26,278","1,689,257",81.90%,93.70%,65.10%,61.00%,33.00%,19.00%,73.00%,1.02,74.10%,3.80%,8.60%,11.90%
2022-06,Azteca,"2,497,411","42,800,152","4,204,127","625,453","2,760,055","3,306,229","16,552","1,212,558",75.50%,90.50%,65.70%,59.40%,24.00%,20.00%,67.00%,1.02,72.00%,1.50%,7.20%,17.10%
2022-06,Santiago Bernabeu,"2,275,514","31,747,429","4,074,558","747,672","2,688,150","3,323,676","20,025","1,077,346",68.50%,84.60%,66.00%,55.80%,22.00%,20.00%,61.00%,0.94,75.20%,0.70%,7.90%,14.50%
2022-07,Vila Belmiro,"3,385,216","72,276,039","6,250,032","775,455","3,647,512","4,224,287","20,887","2,035,759",80.10%,92.80%,58.40%,54.20%,23.00%,18.00%,57.00%,1,75.80%,2.20%,4.30%,15.80%
2022-07,Rose Bowl,"1,639,638","33,133,507","2,900,335","438,197","1,779,414","2,046,107","9,349","975,760",80.10%,92.10%,61.40%,56.50%,28.00%,16.00%,56.00%,1.05,72.80%,0.70%,3.20%,21.10%
2022-07,San Siro,"9,308,088","198,410,335","15,820,647","1,654,099","9,868,792","11,212,744","54,230","5,395,102",83.00%,94.30%,62.40%,58.80%,36.00%,23.00%,70.00%,1,79.00%,6.50%,3.10%,9.50%
2022-07,Lusail,"2,255,962","42,646,831","4,122,696","493,240","2,450,409","2,986,612","11,698","1,336,921",75.50%,92.10%,59.40%,54.70%,23.00%,18.00%,62.00%,0.99,77.50%,0.10%,6.10%,14.40%
2022-07,Old Trafford,"12,706,027","264,373,258","21,940,593","2,793,861","13,479,075","15,290,191","70,253","6,831,556",83.10%,94.30%,61.40%,57.90%,37.00%,25.00%,74.00%,0.99,76.80%,-3.80%,6.60%,15.40%
2022-07,Maracan‹,"4,179,829","65,298,267","6,689,723","1,035,322","4,368,419","4,906,336","26,774","1,831,776",85.20%,95.70%,65.30%,62.50%,38.00%,18.00%,68.00%,0.99,74.10%,3.80%,8.60%,12.00%
2022-07,Azteca,"2,680,915","46,139,828","4,419,900","672,912","2,926,006","3,473,489","17,682","1,290,586",77.20%,91.60%,66.20%,60.70%,25.00%,20.00%,68.00%,0.98,74.20%,1.80%,6.70%,15.30%
2022-07,Santiago Bernabeu,"2,418,822","34,682,050","4,234,246","781,888","2,800,511","3,401,124","20,949","1,173,148",71.10%,86.40%,66.10%,57.10%,23.00%,20.00%,59.00%,0.97,74.30%,3.80%,7.90%,12.60%
2022-08,Vila Belmiro,"3,366,559","70,937,407","6,389,286","776,272","3,648,026","4,288,523","21,134","2,095,585",78.50%,92.30%,57.10%,52.70%,23.00%,17.00%,56.00%,1.02,76.60%,2.20%,3.00%,16.00%
2022-08,Rose Bowl,"1,743,693","36,505,149","3,023,716","440,351","1,884,524","2,155,843","9,767","1,034,341",80.90%,92.50%,62.30%,57.70%,29.00%,15.00%,57.00%,1.05,70.90%,7.70%,2.50%,16.70%
2022-08,San Siro,"9,038,584","191,996,660","15,591,838","1,639,738","9,631,258","10,993,663","55,138","5,480,608",82.20%,93.80%,61.80%,58.00%,35.00%,22.00%,68.00%,0.99,78.90%,7.90%,2.50%,8.60%
2022-08,Lusail,"2,322,336","45,688,597","4,220,743","491,483","2,521,650","3,016,279","11,808","1,333,253",77.00%,92.10%,59.70%,55.00%,21.00%,19.00%,66.00%,0.94,74.80%,5.50%,3.00%,14.60%
2022-08,Old Trafford,"12,410,609","268,003,501","22,371,843","2,809,291","13,277,610","15,204,885","71,669","6,995,224",81.60%,93.50%,59.30%,55.50%,35.00%,25.00%,75.00%,1,77.50%,-4.60%,3.60%,18.00%
2022-08,Maracan‹,"4,365,873","69,810,000","7,065,252","1,045,750","4,570,426","5,157,843","27,574","1,894,594",84.60%,95.50%,64.70%,61.80%,35.00%,18.00%,70.00%,1.02,74.30%,4.70%,5.00%,14.00%
2022-08,Azteca,"2,680,206","46,132,140","4,471,854","651,501","2,926,647","3,463,663","17,501","1,327,836",77.40%,91.60%,65.40%,59.90%,25.00%,19.00%,66.00%,0.98,74.20%,2.70%,3.80%,17.00%
2022-08,Santiago Bernabeu,"2,477,351","36,233,137","4,310,840","761,988","2,828,282","3,382,086","20,826","1,226,956",73.20%,87.60%,65.60%,57.50%,25.00%,19.00%,58.00%,1,73.90%,6.10%,3.70%,14.50%
2022-09,Vila Belmiro,"3,537,969","75,685,468","6,503,442","780,368","3,795,253","4,424,638","21,467","2,097,189",80.00%,93.20%,58.40%,54.40%,23.00%,17.00%,60.00%,1.03,76.30%,8.10%,1.80%,11.90%
2022-09,Rose Bowl,"1,799,340","37,367,378","3,056,432","439,312","1,934,467","2,227,461","10,113","1,030,401",80.80%,93.00%,63.30%,58.90%,29.00%,14.00%,59.00%,1.04,70.20%,12.20%,1.80%,13.70%
2022-09,San Siro,"8,947,882","193,797,882","15,869,750","1,702,247","9,557,559","11,019,054","56,153","5,458,987",81.20%,93.60%,60.20%,56.40%,33.00%,21.00%,69.00%,1.03,78.80%,7.40%,2.50%,8.80%
2022-09,Lusail,"2,259,209","44,871,228","4,150,177","491,108","2,439,126","2,899,165","11,752","1,288,512",77.90%,92.60%,58.80%,54.40%,22.00%,19.00%,65.00%,1.02,74.30%,6.00%,3.50%,14.00%
2022-09,Old Trafford,"12,280,525","264,731,958","22,147,293","2,812,915","13,019,753","14,745,421","73,177","6,978,566",83.30%,94.30%,58.80%,55.40%,37.00%,23.00%,74.00%,1.03,77.30%,-4.20%,4.00%,17.50%
2022-09,Maracan‹,"4,422,747","71,158,461","7,103,248","1,052,533","4,607,584","5,186,391","28,352","1,881,252",85.30%,96.00%,64.90%,62.30%,35.00%,17.00%,70.00%,1.02,74.40%,6.10%,3.60%,13.90%
2022-09,Azteca,"2,695,260","46,762,437","4,498,337","663,256","2,933,148","3,458,761","17,921","1,330,013",77.90%,91.90%,65.20%,59.90%,26.00%,18.00%,67.00%,1.05,74.70%,4.80%,3.30%,14.90%
2022-09,Santiago Bernabeu,"2,518,626","37,205,588","4,307,032","761,118","2,830,609","3,347,740","21,251","1,240,729",75.20%,89.00%,65.70%,58.50%,26.00%,18.00%,59.00%,1.03,73.90%,7.90%,2.90%,13.40%
2022-10,Vila Belmiro,"3,687,243","76,037,203","7,010,173","800,826","4,113,659","5,022,920","22,208","2,098,738",73.40%,89.60%,58.70%,52.60%,18.00%,19.00%,63.00%,1.04,76.10%,6.60%,2.10%,13.20%
2022-10,Rose Bowl,"1,901,006","39,604,383","3,239,956","445,161","2,036,703","2,298,220","10,567","1,105,862",82.70%,93.30%,62.90%,58.70%,31.00%,14.00%,58.00%,1.07,70.00%,12.00%,1.70%,14.20%
2022-10,San Siro,"9,360,051","206,364,373","16,788,836","1,710,176","10,024,412","11,438,019","56,800","5,490,765",81.80%,93.40%,59.70%,55.80%,33.00%,22.00%,71.00%,1.01,79.30%,6.30%,2.60%,9.60%
2022-10,Lusail,"2,382,981","48,761,917","4,456,974","509,059","2,580,469","3,052,242","11,918","1,305,574",78.10%,92.30%,57.90%,53.50%,22.00%,19.00%,68.00%,1.03,75.70%,7.70%,4.30%,10.50%
2022-10,Old Trafford,"13,060,332","286,596,844","23,599,582","2,896,337","13,878,397","15,563,956","75,421","7,256,990",83.90%,94.10%,58.80%,55.30%,38.00%,23.00%,75.00%,1.04,77.30%,-3.60%,5.00%,16.30%
2022-10,Maracan‹,"4,654,125","75,844,489","7,549,388","1,084,271","4,879,460","5,470,603","29,615","1,938,990",85.10%,95.40%,64.60%,61.60%,34.00%,17.00%,72.00%,1.02,75.00%,5.10%,3.10%,14.70%
2022-10,Azteca,"2,935,670","52,227,879","4,985,646","706,827","3,257,466","3,885,461","19,215","1,374,645",75.60%,90.10%,65.30%,58.90%,24.00%,20.00%,71.00%,1.01,75.50%,5.30%,3.20%,13.90%
2022-10,Santiago Bernabeu,"2,721,162","41,486,532","4,746,697","807,752","3,100,492","3,667,662","22,431","1,272,459",74.20%,87.80%,65.30%,57.30%,25.00%,19.00%,63.00%,1.01,74.40%,7.90%,2.30%,13.60%
2022-11,Vila Belmiro,"3,552,808","71,223,153","6,716,862","797,018","3,931,719","4,702,801","22,694","2,107,103",75.50%,90.40%,58.50%,52.90%,20.00%,18.00%,60.00%,1.05,75.50%,4.30%,6.20%,12.40%
2022-11,Rose Bowl,"1,913,495","39,641,359","3,248,664","457,598","2,049,209","2,286,174","10,812","1,135,823",83.70%,93.40%,63.10%,58.90%,32.00%,13.00%,57.00%,1.04,69.40%,11.80%,4.00%,13.10%
2022-11,San Siro,"8,906,113","189,036,056","15,716,912","1,705,602","9,500,906","10,727,820","56,862","5,471,978",83.00%,93.70%,60.50%,56.70%,32.00%,19.00%,67.00%,0.99,78.60%,4.50%,5.40%,9.50%
2022-11,Lusail,"2,315,829","46,640,827","4,246,712","514,904","2,489,268","2,876,539","12,085","1,315,825",80.50%,93.00%,58.60%,54.50%,24.00%,18.00%,65.00%,1.06,75.40%,7.20%,6.30%,9.60%
2022-11,Old Trafford,"12,803,857","276,402,909","22,892,061","2,910,136","13,663,750","15,267,336","76,492","7,270,356",83.90%,93.70%,59.70%,55.90%,36.00%,19.00%,73.00%,1,76.70%,-3.90%,6.90%,15.40%
2022-11,Maracan‹,"4,506,928","72,031,424","7,251,613","1,077,485","4,738,250","5,269,162","30,046","1,919,846",85.50%,95.10%,65.30%,62.20%,35.00%,17.00%,71.00%,1.02,74.50%,3.90%,4.90%,14.70%
2022-11,Azteca,"2,836,862","50,482,859","4,910,632","735,025","3,158,941","3,742,719","20,148","1,359,880",75.80%,89.80%,64.30%,57.80%,23.00%,20.00%,71.00%,1,74.90%,3.90%,5.50%,13.60%
2022-11,Santiago Bernabeu,"2,562,101","38,573,701","4,510,266","803,729","2,903,554","3,375,834","23,492","1,229,085",75.90%,88.20%,64.40%,56.80%,28.00%,18.00%,61.00%,1.03,74.00%,5.90%,3.80%,14.50%
2022-12,Vila Belmiro,"3,852,660","84,742,503","8,047,988","865,447","4,473,350","5,517,382","22,821","2,142,772",69.80%,86.10%,55.60%,47.90%,17.00%,20.00%,66.00%,1.05,79.10%,2.50%,4.20%,12.40%
2022-12,Rose Bowl,"2,067,026","45,102,016","3,770,524","500,253","2,280,471","2,611,088","11,278","1,149,863",79.20%,90.60%,60.50%,54.80%,26.00%,15.00%,62.00%,1.07,70.20%,9.60%,3.60%,14.60%
2022-12,San Siro,"9,824,727","217,681,719","19,234,281","1,884,096","10,940,688","12,853,062","57,297","5,672,822",76.40%,89.80%,56.90%,51.10%,26.00%,20.00%,75.00%,0.96,79.90%,1.70%,6.50%,9.70%
2022-12,Lusail,"2,698,880","57,134,072","5,146,465","570,379","3,021,148","3,680,923","12,450","1,407,825",73.30%,89.30%,58.70%,52.40%,20.00%,20.00%,73.00%,0.92,78.00%,10.30%,6.40%,4.20%
2022-12,Old Trafford,"13,069,096","304,303,611","26,898,659","3,150,473","14,498,709","16,565,168","79,030","7,084,293",78.90%,90.10%,53.90%,48.60%,31.00%,21.00%,79.00%,1.02,78.30%,-8.50%,5.80%,19.10%
2022-12,Maracan‹,"4,941,444","85,637,037","8,548,913","1,190,735","5,354,317","6,028,070","31,623","1,974,075",82.00%,92.30%,62.60%,57.80%,30.00%,18.00%,77.00%,1.02,75.50%,2.70%,4.40%,15.30%
2022-12,Azteca,"3,051,179","58,749,432","6,135,537","896,245","3,613,793","4,476,034","23,676","1,376,422",68.20%,84.40%,58.90%,49.70%,19.00%,22.00%,78.00%,0.98,76.30%,-1.50%,5.30%,17.40%
2022-12,Santiago Bernabeu,"2,866,235","46,043,158","5,448,591","932,023","3,387,988","4,007,745","25,577","1,247,273",71.50%,84.60%,62.20%,52.60%,24.00%,20.00%,70.00%,0.98,75.00%,4.70%,3.50%,14.90%
2023-01,Vila Belmiro,"3,317,455","73,517,961","6,428,297","797,696","3,574,886","4,141,186","23,082","2,083,376",80.10%,92.80%,55.60%,51.60%,23.00%,16.00%,56.00%,1.1,75.60%,11.90%,0.10%,10.60%
2023-01,Rose Bowl,"1,863,170","38,951,200","3,169,008","462,521","1,995,181","2,251,589","11,541","1,124,570",82.70%,93.40%,63.00%,58.80%,30.00%,13.00%,55.00%,1.06,69.30%,17.20%,0.10%,11.60%
2023-01,San Siro,"8,507,936","185,120,106","16,876,057","1,825,711","9,264,944","10,885,514","57,278","5,196,756",78.20%,91.80%,54.90%,50.40%,26.00%,20.00%,70.00%,1.01,79.20%,3.90%,2.10%,12.10%
2023-01,Lusail,"2,396,507","49,830,866","4,802,118","572,115","2,631,481","3,173,991","12,668","1,340,151",75.50%,91.10%,54.80%,49.90%,20.00%,20.00%,67.00%,1,75.60%,7.10%,1.40%,13.50%
2023-01,Old Trafford,"11,922,815","249,556,415","21,623,876","2,865,337","12,659,241","14,300,406","79,118","6,767,914",83.40%,94.20%,58.50%,55.10%,33.00%,17.00%,70.00%,1.03,76.70%,-3.00%,0.90%,19.60%
2023-01,Maracan‹,"4,354,340","72,421,549","7,018,196","1,086,581","4,521,988","5,008,463","31,205","1,963,941",86.90%,96.30%,64.40%,62.00%,36.00%,15.00%,65.00%,1.08,73.60%,9.80%,0.40%,14.00%
2023-01,Azteca,"2,795,888","54,095,979","5,538,722","935,711","3,224,646","3,933,399","24,958","1,397,264",71.10%,86.70%,58.20%,50.50%,21.00%,21.00%,71.00%,1.02,74.20%,3.90%,2.00%,17.30%
2023-01,Santiago Bernabeu,"2,618,257","41,318,920","4,730,047","895,374","2,959,038","3,458,726","25,643","1,289,600",75.70%,88.50%,62.60%,55.40%,26.00%,18.00%,61.00%,1.06,74.00%,10.30%,0.80%,13.00%
2023-02,Vila Belmiro,"3,669,468","83,808,261","7,117,546","813,134","4,022,938","4,800,442","23,746","2,158,950",76.40%,91.20%,56.50%,51.60%,20.00%,18.00%,63.00%,1,76.20%,13.70%,1.00%,7.90%
2023-02,Rose Bowl,"1,889,030","39,894,173","3,190,573","451,511","2,020,571","2,300,612","11,731","1,133,719",82.10%,93.50%,63.30%,59.20%,28.00%,13.00%,56.00%,1.04,69.00%,17.00%,0.00%,12.40%
2023-02,San Siro,"7,901,285","177,118,098","16,558,384","1,782,311","8,818,839","10,606,442","57,216","4,812,429",74.50%,89.60%,53.30%,47.70%,23.00%,21.00%,74.00%,1.03,79.80%,4.10%,2.30%,11.40%
2023-02,Lusail,"2,128,049","44,592,692","4,444,109","547,084","2,408,755","3,011,204","12,762","1,240,383",70.70%,88.30%,54.20%,47.90%,17.00%,22.00%,68.00%,0.99,75.80%,6.20%,1.60%,14.30%
2023-02,Old Trafford,"12,290,676","259,816,119","22,236,844","2,870,635","13,162,402","14,954,695","79,557","6,965,683",82.20%,93.40%,59.20%,55.30%,30.00%,17.00%,73.00%,1.02,77.30%,-2.90%,2.10%,18.10%
2023-02,Maracan‹,"4,630,895","78,305,700","7,342,456","1,088,303","4,813,267","5,338,810","31,717","2,000,270",86.70%,96.20%,65.60%,63.10%,34.00%,16.00%,69.00%,1.04,73.50%,12.10%,0.60%,12.00%
2023-02,Azteca,"2,575,641","48,175,316","4,867,720","778,044","2,940,472","3,556,861","21,864","1,304,936",72.40%,87.60%,60.40%,52.90%,21.00%,20.00%,69.00%,1.05,73.60%,4.00%,2.10%,17.90%
2023-02,Santiago Bernabeu,"2,626,015","41,424,711","4,639,406","847,220","2,938,268","3,421,354","25,508","1,252,357",76.80%,89.40%,63.30%,56.60%,26.00%,18.00%,63.00%,1.05,73.90%,11.50%,0.70%,12.50%
2023-03,Vila Belmiro,"4,170,465","90,189,703","7,785,022","825,506","4,430,823","4,898,098","24,360","2,486,109",85.10%,94.10%,56.90%,53.60%,22.00%,16.00%,60.00%,1.02,75.60%,13.80%,0.20%,9.10%
2023-03,Rose Bowl,"2,163,004","41,650,724","3,642,056","475,319","2,290,976","2,483,330","12,158","1,353,837",87.10%,94.40%,62.90%,59.40%,29.00%,13.00%,55.00%,1.08,74.60%,6.60%,0.20%,16.50%
2023-03,San Siro,"8,951,807","187,933,580","17,218,567","1,770,812","9,692,466","10,964,229","57,809","5,677,037",81.60%,92.40%,56.30%,52.00%,25.00%,19.00%,69.00%,1.01,78.90%,7.70%,1.80%,9.50%
